threshold,f1,recall,precision
0.1,0.37067209775967414,1.0,0.2275
0.12,0.37067209775967414,1.0,0.2275
0.14,0.37067209775967414,1.0,0.2275
0.16,0.37067209775967414,1.0,0.2275
0.18,0.37067209775967414,1.0,0.2275
0.2,0.37067209775967414,1.0,0.2275
0.22,0.37067209775967414,1.0,0.2275
0.24,0.37067209775967414,1.0,0.2275
0.26,0.37092391304347827,1.0,0.22768974145120935
0.28,0.3721881390593047,1.0,0.228643216080402
0.3,0.37302133516861663,0.9926739926739927,0.22966101694915253
0.32,0.3759717314487632,0.9743589743589743,0.2329246935201401
0.34,0.38180462341536164,0.9377289377289377,0.2397003745318352
0.36,0.384012539184953,0.8974358974358975,0.24426719840478564
0.38,0.39267886855241263,0.8644688644688645,0.25403659849300325
0.4,0.3939662821650399,0.8131868131868132,0.25995316159250587
0.42,0.394990366088632,0.7509157509157509,0.2679738562091503
0.44,0.39232409381663114,0.673992673992674,0.27669172932330827
0.46,0.39618138424821003,0.608058608058608,0.2938053097345133
0.48,0.3915900131406045,0.5457875457875457,0.305327868852459
0.5,0.3921015514809591,0.5091575091575091,0.31880733944954126
0.52,0.37853949329359166,0.4652014652014652,0.31909547738693467
0.54,0.358974358974359,0.41025641025641024,0.3190883190883191
0.56,0.3357664233576642,0.336996336996337,0.33454545454545453
0.58,0.2736842105263158,0.23809523809523808,0.3217821782178218
0.6,0.20052770448548812,0.1391941391941392,0.3584905660377358
0.62,0.1094224924012158,0.06593406593406594,0.32142857142857145
0.64,0.04040404040404041,0.02197802197802198,0.25
0.66,0.014184397163120567,0.007326007326007326,0.2222222222222222
0.68,0.0072992700729927005,0.003663003663003663,1.0
0.7,0.0,0.0,0.0
0.72,0.0,0.0,0.0
0.74,0.0,0.0,0.0
0.76,0.0,0.0,0.0
0.78,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.82,0.0,0.0,0.0
0.84,0.0,0.0,0.0
0.86,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.9,0.0,0.0,0.0
